비아조,카페,446,부산 강서구 식만로 164 (우)46707,29534,['매일 10:00 ~ 22:00'],"{'아메리카노': '6,000'}"
스타벅스 명지강변DT점,스타벅스,3.3,부산 강서구 르노삼성대로 620 (우)46773,26209,['매일 07:00 ~ 23:00'],"{'리저브 나이트로': '7,500', '로맨틱 뱅쇼 피지오': '6,300', '제주 한라봉 말차 블렌디드': '7,500', '플럼 선셋 유스베리 티': '7,000', '바닐라 빈 푸딩 블렌디드 위드 콜드 브루': '6,300', '퍼플 드링크 위드 망고 용과 스타벅스 리프레셔': '5,900', '': ''}"
토북 베이커리카페,"제과,베이커리",4.2,부산 강서구 낙동남로 526-1 (우)46735,24025,['매일 09:00 ~ 22:00'],"{'추천\n소금빵': '3,600'}"
맥도날드 부산명지DT점,맥도날드,3.6,부산 강서구 명지국제8로 272 (우)46772,23405,['매일 07:00 ~ 01:00'],{}
구디너프,카페,3.0,부산 강서구 가덕해안로1169번길 28 (우)46771,14167,['매일 11:00 ~ 20:50'],"{'롱블랙': '6,500'}"
카페진목,카페,4.1,부산 강서구 명지새동네길2번길 56-3 (우)46725,11965,['매일 10:30 ~ 21:30'],"{'아메리카노': '4,500', '라떼': '6,000', '바닐라라떼': '6,500', '브리치즈 애플 샌드위치': '10,000'}"
록산,디저트카페,4.0,부산 강서구 화전산업대로 272-43 (우)46736,10879,"['토,일 10:00 ~ 22:00 (브런치 17시까지)']","{'롱블랙(HOT)': '5,000', '카푸치노(HOT)': '6,000', '라떼(HOT)': '6,000', '딸기라떼': '7,000', '토마토 바질 부라타 샐러드': '13,000'}"
영진돼지국밥,국밥,4.2,부산 강서구 명지오션시티8로 31 (우)46763,10056,['월~토 09:00 ~ 21:00'],"{'보쌈수육 (중)': '35,000', '모듬수육 (중)': '35,000', '돼지국밥': '7,500', '내장국밥': '7,500', '섞어국밥': '7,500'}"
이프리오,커피전문점,3.5,부산 강서구 범방4로 32 이프리오(범방동) (우)46727,9137,['매일 09:30 ~ 22:00'],"{'아메리카노': '5,000', '수제자몽에이드': '7,000', '생과일요거트': '8,000', '핸드드립커피': '7,000', '수제대추차': '7,000', '추천\n리오나솔트(소금커피)': '7,500', '': ''}"
버거킹 부산명지DT점,버거킹,0,부산 강서구 명지국제6로 218 (우)46772,9129,['매일 09:00 ~ 24:00'],"{'콰트로 맥시멈…이하생략 4 세트': '20,000', '콰트로 맥시멈…이하생략 3 세트': '18,000', '스모키 바비큐 몬스터 세트': '13,500', '스모키 바비큐 와퍼 세트': '12,000', '치킨킹BLT 세트': '10,900', '콰트로치즈와퍼 세트': '11,300', '': ''}"
쿠우쿠우 부산명지직영점,쿠우쿠우,2.5,부산 강서구 명지오션시티11로 66 지타워 10층 (우)46765,9079,['매일 11:00 ~ 21:30 (음식마감 20:30)'],{'null': 'null'}
장룡수산 본점,장어,4.4,부산 강서구 낙동남로 749 (우)46728,8799,['매일 11:00 ~ 21:00'],"{'추천\n민물장어(순살200g)': '28,000', '민물장어 중탕액 (1개)': '2,000', '민물장어 어묵(5개)': '5,000', '민물장어 (포장 1인분)': '24,000', '민물장어 어묵 (1봉지 10개)': '10,000'}"
소희네집,"해물,생선",2.6,부산 강서구 가덕해안로1208번길 2-12 (우)46771,8768,"['토,일 11:00 ~ 18:00']","{'광어회': '25,000', '해물한접시': '15,000', '초밥': '10,000', '회': '25,000', '간장전복': '15,000', '간장새우': '10,000'}"
어라우즈로스터리,카페,4.1,부산 강서구 르노삼성대로 630 (우)46773,8717,['매일 10:00 ~ 22:00'],"{'크림커피넛': '7,000', '바닐라라떼': '6,500', '핸드드립커피': '변동가격'}"
앙로고택,카페,3.0,부산 강서구 식만로 122 (우)46707,8230,['매일 11:00 ~ 20:00'],"{'아메리카노': '6,500', '카페라떼': '7,000', '바닐라라떼': '7,000', '시나몬라떼': '7,000', '말차 우유 크림': '7,500'}"
다온나루,커피전문점,4.4,부산 강서구 범방3로46번길 21 (우)46727,8143,['매일 11:00 ~ 23:00'],"{'아메리카노(HOT)': '5,000', '카페라떼(HOT)': '6,000', '카푸치노': '6,000', '쑥라떼(HOT)': '7,000', '잎차-허브티,홍차': '7,000', '감귤차': '7,000', '': ''}"
