시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
남구,부산광역시,이기대 (부산 국가지질공원),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d09f7fb6-47a7-40ea-9ebe-a2bf3362e0c9,자연,자연관광지,해안절경,1295
해운대구,부산광역시,해운대 동백섬,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a6341c1c-f43d-4d05-b73f-46c2e4abad09,자연,자연관광지,섬,1273
영도구,부산광역시,태종사,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=97f1a166-5a7c-42d1-8453-ad6d82f00f8a,인문(문화/예술/역사),역사관광지,사찰,1265
중구,부산광역시,BIFF 광장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1a38892a-6671-4236-adc3-7036ce10c2b2,인문(문화/예술/역사),체험관광지,이색체험,1249
수영구,부산광역시,현대 모터스튜디오 부산,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=cd74880a-bfee-43a3-a55d-5a533dee9bae,인문(문화/예술/역사),문화시설,전시관,1239
중구,부산광역시,국제시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=87453280-9034-4d13-ac02-52cc085cffef,쇼핑,쇼핑,상설시장,1206
해운대구,부산광역시,누리마루 APEC하우스,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1725da05-0780-42a9-8747-b864fdd3d78a,인문(문화/예술/역사),문화시설,컨벤션센터,1170
해운대구,부산광역시,청사포,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=96ae4ae0-1e03-4851-8111-ccbe8006cfb5,자연,자연관광지,항구/포구,1137
기장군,부산광역시,신평소공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1d6da36b-9eb2-4615-b5fc-80fc29cb634e,인문(문화/예술/역사),휴양관광지,공원,1137
영도구,부산광역시,영도 흰여울해안터널,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=071a7682-edea-4743-9c40-4be7820348df,인문(문화/예술/역사),건축/조형물,터널,1122
기장군,부산광역시,부산 기장시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7a346d2b-7e23-485c-831d-6fe669ef9f94,쇼핑,쇼핑,상설시장,1118
기장군,부산광역시,부산 치유의 숲,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7eb8f2eb-64f9-4428-9416-2ad85623bff9,인문(문화/예술/역사),휴양관광지,헬스투어,1099
기장군,부산광역시,국립부산과학관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9e51e9f8-4184-4133-ad61-cfa1490718a5,인문(문화/예술/역사),문화시설,전시관,1064
기장군,부산광역시,롯데월드 어드벤처 부산,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=382a6366-a64c-4437-8a23-0fb5770a6858,인문(문화/예술/역사),휴양관광지,테마공원,1032
강서구,부산광역시,가덕도,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=21c3d758-453d-44ab-b79a-7d7bdfe76a53,자연,자연관광지,섬,990
해운대구,부산광역시,SEA LIFE 부산아쿠아리움,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=74efd03d-9097-4a9a-8ec0-3c813fafd2af,인문(문화/예술/역사),휴양관광지,테마공원,989
기장군,부산광역시,대변마을,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1cced6a2-4103-4eb3-8974-d474d9ba3880,숙박,숙박시설,민박,968
부산진구,부산광역시,호천마을,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4eb1ae38-26f2-4e96-ba43-f546af33892c,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,966
중구,부산광역시,용두산 자갈치 관광특구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=bbf50159-035c-4e83-a09a-a455150d1d9b,인문(문화/예술/역사),휴양관광지,관광단지,964
영도구,부산광역시,영도대교,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f6de0286-dde4-472c-b497-8117460f71be,인문(문화/예술/역사),건축/조형물,다리/대교,950
해운대구,부산광역시,부산광안대교,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f7f56f68-4f50-4195-a2fb-05f0df0ffb72,인문(문화/예술/역사),건축/조형물,다리/대교,946
해운대구,부산광역시,갤러리 ERD 부산,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a2f422b6-01b4-4c27-aa00-714ef956f89a,인문(문화/예술/역사),문화시설,미술관/화랑,916
금정구,부산광역시,회동수원지,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=811921ac-72c0-4bd6-a239-3c3840b69fe7,자연,자연관광지,자연생태관광지,887
금정구,부산광역시,범어사(부산),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ec8da5b6-114b-42fb-8041-73c22ed5b2fa,인문(문화/예술/역사),역사관광지,사찰,879
해운대구,부산광역시,뮤지엄 원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7ab8546d-8187-4137-9c04-88b6f10137ab,인문(문화/예술/역사),문화시설,미술관/화랑,863
기장군,부산광역시,캐비네 드 쁘아쏭(미디어 갤러리),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f82c63e2-ac66-4d43-8ee9-f172f447d663,인문(문화/예술/역사),체험관광지,이색체험,845
강서구,부산광역시,망산도·유주암·유주비각,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=733dea14-db04-4ec1-9852-42af2ac0c4bc,인문(문화/예술/역사),역사관광지,유적지/사적지,835
기장군,부산광역시,신세계사이먼 부산 프리미엄 아울렛,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0097e8ba-126b-47b2-8280-51c55b1176c4,쇼핑,쇼핑,전문매장/상가,794
부산진구,부산광역시,조방해수탕,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1037abfd-ff6b-4ae7-8a5e-aba9959c0012,인문(문화/예술/역사),휴양관광지,온천/욕장/스파,789
사상구,부산광역시,삼락생태공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=dccb86d3-df25-4dea-a0e5-56fd5987751e,자연,자연관광지,자연생태관광지,774
수영구,부산광역시,F1963,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8877fee6-874a-45e7-8fa9-25f7de2485cf,인문(문화/예술/역사),산업관광지,기타,767
해운대구,부산광역시,해운대수목원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3f5b8938-f8be-4677-8c66-48202ff12fe5,자연,자연관광지,수목원,736
남구,부산광역시,이기대 섭자리,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=245d458a-a208-4eea-82ab-d7034b722dd3,자연,자연관광지,자연생태관광지,703
부산진구,부산광역시,백양산 (부산 국가지질공원),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8a9fe0e7-1ccb-4638-95b4-3c2c9abb17b2,자연,자연관광지,산,702
수영구,부산광역시,그레이193호텔 [한국관광 품질인증/Korea Quality],https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b9d5f683-0d4f-4333-8294-6d401ecec1a8,숙박,숙박시설,관광호텔,694
해운대구,부산광역시,펠릭스바이STX [한국관광 품질인증/Korea Quality],https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d2c1410a-2824-426d-b9e9-6d985f4ebf0d,숙박,숙박시설,서비스드레지던스,687
동래구,부산광역시,동래온천 노천족탕,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b37bf60d-d405-47e5-a21b-20b16f1c0d16,인문(문화/예술/역사),휴양관광지,온천/욕장/스파,686
기장군,부산광역시,일광해수욕장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b1baf4b5-acae-47be-a8c6-02c0aec129c7,자연,자연관광지,해수욕장,680
동구,부산광역시,168계단,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=57afb30e-cf13-4fd1-a90f-7c6cf571749d,인문(문화/예술/역사),산업관광지,기타,679
사하구,부산광역시,을숙도 공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f296ca62-08f0-43bc-93e7-921ce333cdea,자연,자연관광지,자연생태관광지,678
