Name,Category,Rate,Address,Traffic,Time,Menu
스타벅스 명지오션시티점,스타벅스,2.6,부산 강서구 명지오션시티11로 66 1~2층 (우)46765,5582,['매일 07:00 ~ 22:00'],"{'아이스 슈크림 라떼': '6,300', '슈크림 라떼': '6,300', '봄 딸기 라떼': '6,900', '리저브 나이트로': '7,500', '바질 레몬 셔벗 블렌디드': '6,500', '제주 말차 & 애플망고 블렌디드': '7,500', '': ''}"
샤브20 부산명지점,샤브샤브,4.2,부산 강서구 명지국제8로 19 (우)46726,5514,['매일 11:00 ~ 22:00'],{'null': 'null'}
포도밭대저할매국수,국수,3.1,부산 강서구 대저중앙로 337 (우)46701,5396,['매일 09:00 ~ 20:00'],"{'어른': '4,000', '초등생': '4,000', '유치원생': '2,000'}"
코지하우스 명지점,양식,3.7,부산 강서구 명지국제11로 70 1층 (우)46773,5208,"['매일 11:30 ~ 22:00', '매일 휴게시간 15:30 ~ 17:00']","{'새우로제 파스타': '12,000', '스테이크 크림 파스타': '10,900', '미트볼 토마토 파스타': '9,900', '큐브 스테이크 필라프': '10,900', '마르게리타 피자': '8,900'}"
푸디1354,"육류,고기",5.0,부산 강서구 가락대로 1354 (우)46708,5168,['매일 11:30 ~ 21:30'],"{'안심(100g)': '33,000', '토마호크(100g)': '18,000', '티본(100g)': '16,000', '엘본(100g)': '16,000', '우대갈비 1대(300g)': '35,000', 'Foodie Set(티본or엘본+비빔국수)': '99,000', '': ''}"
스타벅스 명지국제신도시점,스타벅스,5.0,부산 강서구 명지국제5로 42 (우)46772,5089,['매일 07:00 ~ 22:00'],"{'아이스 슈크림 라떼': '6,300', '슈크림 라떼': '6,300', '봄 딸기 라떼': '6,900', '리저브 나이트로': '7,500', '바질 레몬 셔벗 블렌디드': '6,500', '제주 말차 & 애플망고 블렌디드': '7,500', '': ''}"
파스쿠찌 부산강서점,파스쿠찌,3.6,"부산 강서구 체육공원로6번길 184 1 ,2, 3층 (우)46703",5047,['매일 09:00 ~ 22:30'],"{'아이스 이메리카노 R': '4,500', '아메리카노': '4,500'}"
투썸플레이스 부산가덕도점,투썸플레이스,3.5,부산 강서구 가덕해안로 590 (우)46770,4924,['매일 10:00 ~ 22:00'],{}
포레스트3002,카페,3.3,부산 강서구 낙동남로682번길 262 (우)46736,4855,"['월,수,목,금,토,일 12:00 ~ 20:30']","{'아메리카노': '5,000', '카페라떼': '5,500', '녹차그린티라떼': '6,000', '유자 레몬에이드': '7,000', '복숭아 아이스티': '6,000'}"
그날이후불타는삼겹살,"육류,고기",5.0,부산 강서구 새진목길11번길 22 (우)46717,4823,['매일 10:00 ~ 22:00'],{'null': 'null'}
이지요더파크,카페,3.0,부산 강서구 신호산단1로72번길 54 (우)46760,4533,"['토,일 09:30 ~ 24:00']",{'null': 'null'}
브리타니,카페,3.9,부산 강서구 가덕해안로 663 1층 (우)46770,4291,"['토,일 11:00 ~ 20:00']","{'아메리카노': '4,600', '카페라떼': '6,000', '딸기 에이드': '7,000', '루꼴라 햄치즈 갈레트': '13,000', '고르곤졸라 피자': '16,000'}"
자갈치왕짬뽕,중국요리,4.1,부산 강서구 공항로447번길 6 (우)46723,4041,['화~일 10:00 ~ 20:00'],"{'짜장면': '6,000', '짬뽕': '8,000', '낙지짬뽕': '10,000', '간짜장': '7,000', '볶음밥': '8,000', '삼선볶음밥': '9,000', '': ''}"
투썸플레이스 부산명지강변점,투썸플레이스,4.4,부산 강서구 명지새동네길2번길 56 (우)46725,3970,['매일 10:00 ~ 22:00'],{}
녹슨드럼통 대저본점,"육류,고기",2.6,부산 강서구 경전철로 233-2 (우)46719,3970,['토 12:00 ~ 23:00'],"{'녹슨바베큐 (1~2명)': '46,000', '녹슨바베큐 (6~7명)': '115,000', '녹슨바베큐 (5명)': '92,000', '녹슨바베큐 (3~4명)': '69,000', '잔치국수': '3,000', '된장찌개': '3,000'}"
김가네가야밀면,국수,4.5,부산 강서구 공항앞길 25 (우)46720,3733,['화~토 10:30 ~ 20:30'],"{'물밀면': '7,500', '물곱배기': '8,000', '비빔면': '7,500', '국밥': '9,000', '내장국밥': '9,000'}"
벨렘351,"제과,베이커리",3.6,부산 강서구 대저로299번길 6 1동 1층 (우)46702,3680,['매일 10:00 ~ 22:00'],"{'레몬 에이드': '5,000', '자몽 스무디': '5,000', '수제 리얼 딸기라떼': '5,500', '아메리카노': '4,000', '카페 라떼': '4,500'}"
금빛노을,전통찻집,3.8,부산 강서구 둔치강변길 656 (우)46710,3648,['매일 10:00 ~ 22:00'],{'null': 'null'}
녹산용가든,"육류,고기",2.4,부산 강서구 낙동남로682번길 94 (우)46736,3530,['매일 11:00 ~ 21:30'],"{'추천\n함박스테이크 (점심특선)': '15,000', '한우불고기&된장찌개 (점심특선/2인이상)': '15,000', '추천\n한우꽃등심 100g': '36,000', '한우스페셜 100g': '42,000', '한우갈비살 (100g)': '31,000', '한우모둠(중) 400g': '120,000', '': ''}"
