순위,업소명,주소,분류,검색량
84,자담면가,부산 강서구 영강길81번길 10-0,한식,2162
85,하라케이크부산점,부산 강서구 명지국제6로302번길 11-6,간이음식,2134
86,꿈꾸는요리사국제신도시점,부산 강서구 명지국제8로 230-0,간이음식,2131
87,롯데리아명지국제신도시점,부산 강서구 명지국제8로 233-0,간이음식,2125
88,선창갈삼구이,부산 강서구 르노삼성대로 602-0,전문음식,2111
89,수미가칼국수,부산 강서구 영강길 157-0,한식,2110
90,위드렌터카김해공항점,부산 강서구 공항앞길85번길 25-0,카페/찻집,2077
91,만드리곤드레밥,부산 강서구 공항앞길85번길 13-0,한식,2054
92,시장분식,부산 강서구 공항로811번다길 23-19,한식,2047
93,칸웨이명지점 [중식],부산 강서구 명지오션시티4로 84-0,외국식,2039
94,연정김치찌개,부산 강서구 경전철로188번길 75-0,한식,2023
95,동경회관,부산 강서구 신호산단1로72번길 17-0,전문음식,2017
96,금호횟집,부산 강서구 명지새동네길1번길 62-0,전문음식,1975
97,마라도물회,부산 강서구 녹산화전로 283-0,전문음식,1908
98,칠곡보리밥칼국수,부산 강서구 신호산단4로64번길 35-0,한식,1892
99,연경재별채,부산 강서구 가덕해안로 655-0,카페/찻집,1891
100,고집불통토굴속묵은지,부산 강서구 공항앞길 68-0,한식,1866
1,선유도원,부산 금정구 상현로 64-0,카페/찻집,15147
2,모모스커피부산본점,부산 금정구 오시게로 20-0,카페/찻집,14107
3,맥도날드부산구서DT점,부산 금정구 중앙대로 1957-0,간이음식,12290
4,배비장보쌈구서본점,부산 금정구 금정로 239-0,전문음식,10965
5,헤이든신씨어,부산 금정구 산성로 436-0,카페/찻집,10936
6,스타벅스금정남산동DT점,부산 금정구 중앙대로 1989-0,카페/찻집,8669
7,스타벅스금정구청DT점,부산 금정구 중앙대로 1730-0,카페/찻집,8534
8,스타벅스온천장역DT점,부산 금정구 식물원로 13-0,카페/찻집,8415
9,부산갈매기,부산 금정구 체육공원로 565-0,한식,7198
10,포구나무집,부산 금정구 조리2길 13-7,한식,7096
11,압구정한우갈비,부산 금정구 청룡로 61-0,한식,6700
12,톤쇼우,부산 금정구 금강로 247-10,전문음식,5605
13,마파람해물찜해물탕구서본점,부산 금정구 금강로 418-0,한식,5380
14,기와집,부산 금정구 오륜대로 245-0,전문음식,5369
15,초심한우정,부산 금정구 범어천로 11-0,한식,5262
16,경주집,부산 금정구 하마2길 6-0,전문음식,4782
17,베이킹맘큐원성신유통,부산 금정구 공단로 51-0,간이음식,4764
18,얼크니손칼국수,부산 금정구 금강로 752-0,한식,4722
19,할매집,부산 금정구 오륜대로 145-107,한식,4570
20,푸주옥설렁탕도가니탕,부산 금정구 금정로 248-0,한식,4434
21,만서리이가네막국수,부산 금정구 식물원로 27-0,한식,4350
22,더팜471,부산 금정구 하마2길 28-17,카페/찻집,4272
23,KFC부산구서DT점,부산 금정구 중앙대로 1824-0,간이음식,4140
24,버거킹부산금정오일뱅크점,부산 금정구 중앙대로 1664-0,간이음식,4031
25,하동집,부산 금정구 오륜대로 258-0,전문음식,3999
26,투썸플레이스부산금정산성점,부산 금정구 산성로 448-0,카페/찻집,3716
27,우정갈비,부산 금정구 금샘로 353-0,한식,3601
28,리디엔폴,부산 금정구 금샘로 219-0,카페/찻집,3551
29,전원숯불구서점,부산 금정구 금강로 449-0,한식,3500
30,구포촌국수,부산 금정구 금샘로 490-0,한식,3335
31,손영환비빔국수칼국수,부산 금정구 체육공원로 524-0,한식,3297
32,이흥용과자점구서점,부산 금정구 금샘로 379-1,간이음식,3251
33,티원,부산 금정구 범어사로 363-0,카페/찻집,3237
34,감나무집,부산 금정구 범어사로 334-0,전문음식,3163
35,무심정[한식],부산 금정구 북문로 23-0,한식,3085
36,동원분식,부산 금정구 금사로51번길 9-0,간이음식,2809
37,석대다리집,부산 금정구 공단동로 3-0,한식,2773
38,아이리,부산 금정구 북문로 73-0,카페/찻집,2758
39,느루[한식],부산 금정구 금샘로 478-0,한식,2709
40,할리스부산금강식물원점,부산 금정구 금샘로 22-0,카페/찻집,2543
41,수림식당본점,부산 금정구 금샘로 7-0,외국식,2536
42,다인,부산 금정구 땅곡길 45-5,한식,2491
